PP4502N,,,,,CB 386NE,,,,,CB 143NJ,,,,,CB 598NJ,,,,,CB 529NR,,,,,EKU 13900 ,,,,,GD 4H453 ,,,,
 ,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,
,,,,,2023-04-06 14:07:16,00:08:16,"Inwalidów 51C, 85-749 Bydgoszcz, Poland",Bydgoszcz,,2023-04-04 13:43:54,00:20:22,"Mokrzeszów 33, 58-160, Poland",Mokrzeszów,,2023-04-04 06:29:34,,"Stanisława Leszczyńskiego 61, 85-137 Bydgoszcz, Poland",Bydgoszcz,,2023-04-05 06:58:05,,"Droga bez nazwy, 99-311, Poland",,,,00:17:51,,,,,,,,
,,,,,2023-04-06 14:18:28,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-04 15:43:44,,"Mikołaja Kopernika 13-3, 56-300 Milicz, Poland",Milicz,,2023-04-04 09:00:28,,"Kolejowa 5, 64-550 Duszniki, Poland",Duszniki,,2023-04-05 09:04:13,02:06:08,"Guzówka 28, 21-450, Poland",Guzówka,,,,,,,,,,,
,,,,, ,,,,, ,,,,, ,02:30:54,,,, ,,,,,,,,,,,,,,
,,,,,2023-04-07 07:45:52,00:11:12,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-04 16:30:13,01:59:50,"Mikołaja Kopernika 13-3, 56-300 Milicz, Poland",Milicz,,2023-04-04 14:25:12,,"Kolejowa 5, 64-550 Duszniki, Poland",Duszniki,,2023-04-05 13:35:19,,"Guzówka 28, 21-450, Poland",Guzówka,,,,,,,,,,,
,,,,,2023-04-07 08:08:04,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-04 17:01:39,,"Zdunowska 56, 63-700 Krotoszyn, Poland",Krotoszyn,,2023-04-04 14:35:11,,"Lipowa 10, 64-541 Sękowo, Poland",Sękowo,,2023-04-05 13:54:39,,"Akacjowa, 21-450 Stoczek Łukowski, Poland",Stoczek Łukowski,,,,,,,,,,,
,,,,, ,,,,, ,,,,, ,00:09:59,,,, ,00:19:20,,,,,,,,,,,,,
,,,,,2023-04-07 12:02:42,00:22:12,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-04 17:11:12,00:31:26,"Zdunowska 56 A, 63-700 Krotoszyn, Poland",Krotoszyn,,2023-04-04 14:57:45,,"Lipowa 10, 64-541 Sękowo, Poland",Sękowo,,2023-04-05 13:58:19,,"Akacjowa, 21-450 Stoczek Łukowski, Poland",Stoczek Łukowski,,,,,,,,,,,
,,,,,2023-04-07 12:17:51,,"Przemysłowa 34, 85-758 Bydgoszcz, Poland",Bydgoszcz,,2023-04-04 17:40:08,,"Droga bez nazwy, 63-708 Grębów, Poland",Grębów,,2023-04-04 15:42:01,,"Bukowska 3-1, 62-060 Stęszew, Poland",Stęszew,,2023-04-05 15:44:31,,"Promyka 7, 05-830 Urzut, Poland",Urzut,,,,,,,,,,,
,,,,, ,,,,, ,,,,, ,00:44:16,,,, ,,,,,,,,,,,,,,
,,,,,2023-04-07 12:55:34,00:15:09,"Przemysłowa 34, 85-758 Bydgoszcz, Poland",Bydgoszcz,,2023-04-04 17:42:37,00:28:56,"Droga bez nazwy, 63-708 Grębów, Poland",Grębów,,2023-04-04 15:50:02,,"Bukowska 3-1, 62-060 Stęszew, Poland",Stęszew,,2023-04-05 16:13:53,01:46:12,"Promyka 7, 05-830 Urzut, Poland",Urzut,,,,,,,,,,,
,,,,,2023-04-07 13:06:26,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-04 17:49:09,,"Stary Rynek 22, 63-720 Koźmin Wielkopolski, Poland",Koźmin Wielkopolski,,2023-04-04 16:39:24,,"E261, 64-130, Poland",,,2023-04-05 18:40:07,,"9PCV+X7, Wieszowa, Poland",Wieszowa,,,,,,,,,,,
,,,,, ,,,,, ,,,,, ,,,,, ,,,,,,,,,,,,,,
,,,,,2023-04-11 07:24:53,00:10:52,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-04 17:52:13,00:06:32,"Stary Rynek 22, 63-720 Koźmin Wielkopolski, Poland",Koźmin Wielkopolski,,2023-04-04 16:44:50,00:49:22,"E261, 64-130, Poland",,,2023-04-05 18:47:01,02:26:14,"9PCV+X7, Wieszowa, Poland",Wieszowa,,,,,,,,,,,
,,,,,2023-04-11 07:47:07,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-04 17:58:26,,"Droga bez nazwy, 63-720, Poland",,,2023-04-04 20:49:09,,"Przedbronie 6-4, 32-410 Dobczyce, Poland",Dobczyce,,2023-04-05 19:41:08,,"Nad Jeziorem 12, 43-243 Wisła Mała, Poland",Wisła Mała,,,,,,,,,,,
,,,,, ,,,,, ,,,,, ,,,,, ,,,,,,,,,,,,,,
,,,,,2023-04-12 06:15:44,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-05 07:42:00,00:06:13,"Droga bez nazwy, 63-720, Poland",,,2023-04-05 08:19:38,04:04:19,"Przedbronie 3, 32-410 Dobczyce, Poland",Dobczyce,,2023-04-06 06:16:27,00:54:07,"Nad Jeziorem 12, 43-243 Wisła Mała, Poland",Wisła Mała,,,,,,,,,,,
,,,,,2023-04-12 07:51:02,00:22:14,"E261, 63-004 Tulce, Poland",Tulce,,2023-04-05 08:05:37,,"Bułaków 48, 63-860, Poland",Bułaków,,2023-04-05 08:41:27,,"Zawada 126A, 32-445, Poland",Zawada,,2023-04-06 06:40:01,,"Towarowa, 43-520 Chybie, Poland",Chybie,,,,,,,,,,,
,,,,, ,,,,, ,,,,, ,,,,, ,,,,,,,,,,,,,,
,,,,,2023-04-12 08:00:22,,"E261, 63-004 Tulce, Poland",Tulce,,2023-04-05 10:11:57,00:23:37,"Bułaków 48, 63-860, Poland",Bułaków,,2023-04-05 14:29:16,00:21:49,"Zawada 126A, 32-445, Poland",Zawada,,2023-04-06 13:18:40,00:23:34,"Cieszyńska 1A, 43-520 Mnich, Poland",Mnich,,,,,,,,,,,
,,,,,2023-04-12 08:36:35,,"plac Parkowy 7, 62-060 Jeziorki, Poland",Jeziorki,,2023-04-05 11:08:20,,"Droga bez nazwy, 63-460, Poland",,,2023-04-05 16:43:20,,"E77, 28-300, Poland",,,2023-04-06 13:43:02,,"Katowicka 15, 43-251 Pawłowice, Poland",Pawłowice,,,,,,,,,,,
,,,,, ,01:35:18,,,, ,,,,, ,,,,, ,,,,,,,,,,,,,,
,,,,,2023-04-12 17:06:04,,"plac Parkowy 7, 62-060 Jeziorki, Poland",Jeziorki,,2023-04-05 12:56:04,00:56:23,"Droga bez nazwy, 63-460, Poland",,,2023-04-05 16:45:07,02:14:04,"E77, 28-300, Poland",,,2023-04-06 14:30:28,00:24:22,"Katowicka 15, 43-251 Pawłowice, Poland",Pawłowice,,,,,,,,,,,
,,,,,2023-04-12 18:42:03,,"DK15 3, 55-100 Trzebnica, Poland",Trzebnica,,2023-04-05 13:53:55,,"Wrzesińska 62, 62-310 Pyzdry, Poland",Pyzdry,,2023-04-05 18:15:18,,"S7, 05-600 Grójec, Poland",Grójec,,2023-04-06 15:52:02,,"A1, Poland",,,,,,,,,,,,
,,,,, ,00:36:13,,,, ,,,,, ,,,,, ,,,,,,,,,,,,,,
,,,,,2023-04-13 08:37:33,,"Nowy Dwór 2, 55-100 Trzebnica, Poland",Trzebnica,,2023-04-05 13:56:28,00:57:51,"Wrzesińska 62, 62-310 Pyzdry, Poland",Pyzdry,,2023-04-05 18:20:35,01:30:11,"S7, 05-600 Grójec, Poland",Grójec,,2023-04-06 15:55:39,,"A1, Poland",,,,,,,,,,,,
,,,,,2023-04-13 09:01:50,,"Borzęcin 40, 55-140, Poland",Borzęcin,,2023-04-05 15:57:34,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-04-05 18:53:09,,"Aleja Krakowska 135, 05-090 Sękocin Stary, Poland",Sękocin Stary,,2023-04-06 18:25:42,01:21:34,"E67, 55-095, Poland",,,,,,,,,,,,
