PP4502N,,,,,CB 386NE,,,,,CB 143NJ,,,,,CB 598NJ,,,,,CB 529NR,,,,
 ,,,,, ,,,,, ,,,,, ,,,,, ,,,,
2023-03-14 07:27:52,,"10 Lutego 44, 84-100 Puck, Poland",Puck,,2023-03-06 13:31:53,,"Głogowska 52, 67-407 Szlichtyngowa, Poland",Szlichtyngowa,,2023-03-07 07:55:50,,"Perzów 46, 63-642, Poland",Perzów,,2023-03-06 08:03:21,00:26:57,"Wrzesińska 40-44, 62-310 Pyzdry, Poland",Pyzdry,,2023-03-06 08:42:29,,"Bobrówka 104, 37-542, Poland",Bobrówka,
 ,01:17:34,,,, ,00:10:01,,,, ,01:18:31,,,, ,,,,, ,,,,
2023-03-14 07:27:54,,"10 Lutego 44, 84-100 Puck, Poland",Puck,,2023-03-06 13:39:26,,"Głogowska 52, 67-407 Szlichtyngowa, Poland",Szlichtyngowa,,2023-03-07 12:27:03,,"Perzów 48, 63-642, Poland",Perzów,,2023-03-06 08:14:17,,"Wrzesińska 40-44, 62-310 Pyzdry, Poland",Pyzdry,,2023-03-06 16:58:31,00:05:51,"Droga bez nazwy, 37-542, Poland",,
2023-03-14 07:36:49,00:24:24,"10 Lutego 44, 84-100 Puck, Poland",Puck,,2023-03-06 15:06:37,,"Łąka 28A, 59-700, Poland",Łąka,,2023-03-07 12:59:41,,"Łosice 30 A, 55-095 Michałowice, Poland",Michałowice,,2023-03-06 08:57:26,02:02:18,"DW442 30-5, 63-313, Poland",,,2023-03-06 18:31:55,,"Leśna 36, 39-200 Dębica, Poland",Dębica,
 ,,,,, ,03:16:30,,,, ,00:25:44,,,, ,,,,, ,,,,
2023-03-14 11:09:55,00:13:11,"10 Lutego 44, 84-100 Puck, Poland",Puck,,2023-03-06 15:29:03,,"DW297 30, 59-700 Łąka, Poland",Łąka,,2023-03-07 13:30:45,,"Łosice 30 A, 55-095 Michałowice, Poland",Michałowice,,2023-03-06 12:51:06,,"DW442 6A, 63-313, Poland",,,2023-03-07 06:14:21,,"Leśna 36, 39-200 Dębica, Poland",Dębica,
2023-03-14 13:55:16,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-06 20:56:06,,"Burgstraße 2, 90559 Burgthann, Germany",Burgthann,,2023-03-07 15:17:28,,"Kwiatowa 2-12, 62-090 Mrowino, Poland",Mrowino,,2023-03-06 12:56:45,00:43:09,"DW442 30-5, 63-313, Poland",,,2023-03-07 06:27:08,01:33:24,"Rzeszowska 137, 39-200 Dębica, Poland",Dębica,
 ,,,,, ,01:27:11,,,, ,00:32:38,,,, ,,,,, ,,,,
2023-03-14 15:01:16,00:16:10,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-07 07:16:18,,"Burgbergweg, 90559 Burgthann, Germany",Burgthann,,2023-03-07 16:54:23,,"Kwiatowa 2-12, 62-090 Mrowino, Poland",Mrowino,,2023-03-06 13:11:37,,"DW442 30-5, 63-313, Poland",,,2023-03-07 06:32:31,,"Rzeszowska 137, 39-200 Dębica, Poland",Dębica,
2023-03-14 15:41:39,,"Szosa Bydgoska, 88-180, Poland",,,2023-03-07 07:35:50,,"Pyrbaumer Str. 3a, 92353 Postbauer-Heng, Germany",Postbauer-Heng,,2023-03-07 18:47:57,,"Szosa Bydgoska 64, 88-180 Złotniki Kujawskie, Poland",Złotniki Kujawskie,,2023-03-06 15:46:06,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-03-07 06:43:06,00:12:47,"Rzeszowska 139, 39-200 Dębica, Poland",Dębica,
