PP4502N,,,,,CB 386NE,,,,,CB 143NJ,,,,,CB 598NJ,,,,,CB 529NR,,,,
 ,,,,, ,,,,, ,,,,, ,,,,, ,,,,
2023-02-24 13:19:33,,"Toruńska 4, 87-500 Rypin, Poland",Rypin,,2023-02-07 08:03:17,00:05:26,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-07 05:18:17,,"Jana Dekerta 5, 87-100 Toruń, Poland",Toruń,,2023-02-07 08:18:17,00:23:00,"Szczecińska 19-24, 72-003 Dobra, Poland",Dobra,,2023-02-06 14:21:37,00:50:29,"Miejsce Obsługi Podróżnych, 55-114, Poland",,
2023-02-24 15:25:49,00:50:45,"Wałowa 4, 83-032 Pszczółki, Poland",Pszczółki,,2023-02-07 08:31:01,,"Poziomkowa 60A, 87-134 Zławieś Wielka, Poland",Zławieś Wielka,,2023-02-07 06:12:55,00:08:49,"DK25, 86-010, Poland",,,2023-02-07 08:29:56,,"Lubieszyn 8A, 72-002, Poland",Lubieszyn,,2023-02-06 16:22:46,,"E261, Poland",,
 ,,,,, ,,,,, ,,,,, ,,,,, ,,,,
2023-02-24 16:43:26,00:07:51,"Gdańska 27, 83-032 Pszczółki, Poland",Pszczółki,,2023-02-07 08:56:55,,"Poziomkowa 60A, 87-134 Zławieś Wielka, Poland",Zławieś Wielka,,2023-02-07 06:21:33,,"Stopka 7, 86-010, Poland",Stopka,,2023-02-07 20:01:53,00:40:52,"Lubieszyn 8A, 72-002, Poland",Lubieszyn,,2023-02-06 16:25:53,02:01:09,"E261, Poland",,
2023-02-24 18:53:11,,"Fabryczna 1, 85-741 Bydgoszcz, Poland",Bydgoszcz,,2023-02-07 09:09:08,00:27:44,"Poziomkowa 60A, 87-134 Zławieś Wielka, Poland",Zławieś Wielka,,2023-02-07 07:41:42,00:54:38,"Szczecinecka 1, 77-330 Czarne, Poland",Czarne,,2023-02-07 20:35:30,,"Ludowa 23, 71-700 Szczecin, Poland",Szczecin,,2023-02-06 17:26:03,,"Dekarzy 2, 85-803 Bydgoszcz, Poland",Bydgoszcz,
 ,00:08:37,,,, ,,,,, ,,,,, ,,,,, ,,,,
2023-02-27 08:45:45,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-07 14:19:26,,"Poziomkowa 60A, 87-134 Zławieś Wielka, Poland",Zławieś Wielka,,2023-02-07 07:50:51,,"Szczecinecka 1, 77-330 Czarne, Poland",Czarne,,2023-02-08 07:41:54,00:11:39,"Franciszka Ksawerego Druckiego-Lubeckiego 1-14, 71-643 Szczecin, Poland",Szczecin,,2023-02-06 17:31:44,01:00:10,"Dekarzy 2, 85-803 Bydgoszcz, Poland",Bydgoszcz,
2023-02-27 09:20:50,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-07 14:43:43,00:12:13,"Fabryczna 13-3, 85-741 Bydgoszcz, Poland",Bydgoszcz,,2023-02-07 08:55:14,01:20:09,"DW163, 78-320, Poland",,,2023-02-08 08:23:31,,"Lubieszyn 23A, 72-002, Poland",Lubieszyn,,2023-02-06 17:53:01,,"Henryka Sienkiewicza 33A, 85-037 Bydgoszcz, Poland",Bydgoszcz,
 ,,,,, ,,,,, ,,,,, ,,,,, ,,,,
2023-02-27 10:41:44,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-07 15:42:49,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,,2023-02-07 09:03:48,,"DW163, 78-320, Poland",,,2023-02-08 19:57:27,00:33:37,"Lubieszyn 8A, 72-002, Poland",Lubieszyn,,2023-02-07 06:59:30,00:21:17,"Henryka Sienkiewicza 33A, 85-037 Bydgoszcz, Poland",Bydgoszcz,
2023-02-27 10:54:18,,"Bielska 250A, 86-031 Bydgoszcz, Poland",Bydgoszcz,,2023-02-07 16:21:47,00:24:17,"Szosa Bydgoska 64, 88-180 Złotniki Kujawskie, Poland",Złotniki Kujawskie,,2023-02-07 10:13:56,,"DW163, 78-320, Poland",,,2023-02-08 20:30:22,,"Ludowa 23, 71-700 Szczecin, Poland",Szczecin,,2023-02-07 07:16:16,,"Karola Szajnochy 14, 85-738 Bydgoszcz, Poland",Bydgoszcz,
 ,,,,, ,,,,, ,01:04:23,,,, ,,,,, ,,,,
2023-02-27 15:27:20,,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,,2023-02-08 04:06:39,,"Średnia 5, 88-180 Złotniki Kujawskie, Poland",Złotniki Kujawskie,,2023-02-07 10:50:54,,"DW163, 78-320, Poland",,,2023-02-09 08:01:00,00:41:37,"Franciszka Ksawerego Druckiego-Lubeckiego 1-14, 71-643 Szczecin, Poland",Szczecin,,2023-02-07 11:52:16,00:16:46,"Fabryczna 21, 85-741 Bydgoszcz, Poland",Bydgoszcz,
2023-02-27 16:18:05,,"Aleja Armii Krajowej 250, 86-031 Bydgoszcz, Poland",Bydgoszcz,,2023-02-08 06:00:21,00:38:58,"Kamieńca Podolskiego 10, 93-645 Łódź, Poland",Łódź,,2023-02-07 11:10:02,,"Toporzyk 21, 78-320, Poland",Toporzyk,,2023-02-09 08:35:57,,"Lubieszyn 23, 72-002, Poland",Lubieszyn,,2023-02-07 13:25:54,,"Szewo 51b, 87-840, Poland",Szewo,
 ,,,,, ,,,,, ,,,,, ,,,,, ,,,,
